# autonomy test
# fw,878e43d
# type,bt
# result,completed
# start_soc_pct,99.0
# file,01 - Can You Feel My Heart.wav
# format,wav
# rate_hz,44100
# volume,1
# sd_freq_khz,40000
# cpu_freq_mhz,160
# duration_s,20904
# end,clean
t_s,voltage_mV,soc_pct,current_mA,bt,heap_min_kb
0,4104,99.0,-166,1,3872
121,4088,99.0,-131,1,3871
244,4073,99.0,-124,1,3871
367,4070,98.6,-141,1,3871
489,4059,98.1,-170,1,3871
610,4060,97.7,-133,1,3871
732,4043,97.2,-176,1,3871
855,4045,96.7,-156,1,3871
978,4047,96.2,-147,1,3871
1101,4034,95.7,-192,1,3871
1221,4027,95.2,-138,1,3871
1344,4025,94.7,-130,1,3871
1467,4017,94.3,-141,1,3871
1590,4016,93.8,-149,1,3871
1712,4017,93.3,-120,1,3871
1835,4010,92.8,-156,1,3871
1958,4009,92.3,-129,1,3871
2081,4002,91.8,-162,1,3871
2204,3995,91.3,-150,1,3871
2325,3995,90.9,-138,1,3871
2447,3986,90.4,-181,1,3871
2570,3982,89.9,-161,1,3871
2694,3978,89.4,-165,1,3871
2815,3972,88.9,-146,1,3871
2937,3965,88.4,-145,1,3871
3060,3954,87.9,-157,1,3871
3183,3950,87.4,-156,1,3871
3304,3946,86.9,-144,1,3871
3426,3944,86.4,-125,1,3871
3549,3935,85.9,-148,1,3871
3672,3938,85.4,-134,1,3871
3794,3934,85.0,-154,1,3871
3916,3932,84.5,-128,1,3871
4039,3926,84.0,-135,1,3871
4162,3924,83.5,-136,1,3871
4283,3919,83.0,-148,1,3871
4405,3911,82.5,-151,1,3871
4528,3912,82.0,-151,1,3871
4652,3901,81.5,-182,1,3871
4773,3901,81.0,-147,1,3871
4895,3903,80.5,-133,1,3871
5018,3897,80.0,-126,1,3871
5141,3895,79.5,-152,1,3871
5261,3895,79.0,-145,1,3871
5384,3886,78.5,-140,1,3871
5507,3888,78.0,-146,1,3871
5629,3880,77.5,-141,1,3871
5750,3870,77.0,-122,1,3871
5873,3875,76.5,-141,1,3871
5996,3862,76.0,-150,1,3871
6118,3863,75.5,-150,1,3871
6239,3863,75.0,-134,1,3871
6362,3861,74.5,-141,1,3871
6485,3852,74.0,-151,1,3871
6607,3846,73.5,-152,1,3871
6728,3846,73.0,-145,1,3871
6852,3845,72.5,-167,1,3871
6975,3845,72.0,-146,1,3871
7096,3837,71.5,-146,1,3871
7218,3830,71.0,-180,1,3871
7341,3823,70.5,-162,1,3871
7463,3815,69.9,-175,1,3871
7584,3821,69.4,-136,1,3871
7707,3815,68.9,-140,1,3871
7830,3807,68.4,-163,1,3871
7952,3810,67.9,-137,1,3871
8073,3804,67.4,-164,1,3871
8196,3799,66.9,-138,1,3871
8319,3787,66.4,-190,1,3871
8440,3785,65.9,-197,1,3871
8562,3779,65.4,-151,1,3871
8686,3784,64.8,-146,1,3871
8808,3779,64.3,-138,1,3871
8929,3779,63.8,-147,1,3871
9052,3777,63.3,-140,1,3871
9175,3772,62.8,-163,1,3871
9297,3772,62.3,-153,1,3871
9418,3767,61.8,-179,1,3871
9541,3761,61.3,-189,1,3871
9665,3754,60.7,-151,1,3871
9786,3757,60.2,-145,1,3871
9908,3759,59.7,-150,1,3871
10031,3758,59.2,-145,1,3871
10154,3753,58.7,-176,1,3871
10275,3744,58.2,-182,1,3871
10397,3748,57.6,-152,1,3871
10520,3745,57.1,-129,1,3871
10643,3742,56.6,-163,1,3871
10764,3738,56.1,-162,1,3871
10887,3742,55.6,-140,1,3871
11010,3738,55.0,-198,1,3871
11133,3733,54.5,-157,1,3871
11254,3736,54.0,-151,1,3871
11376,3723,53.5,-151,1,3871
11500,3728,53.0,-189,1,3871
11621,3728,52.5,-170,1,3871
11743,3728,51.9,-143,1,3871
11866,3724,51.4,-160,1,3871
11990,3727,50.9,-144,1,3871
12111,3719,50.4,-122,1,3871
12233,3723,49.9,-155,1,3871
12357,3717,49.3,-184,1,3871
12479,3706,48.8,-183,1,3871
12601,3718,48.3,-144,1,3871
12724,3717,47.8,-154,1,3871
12847,3714,47.2,-159,1,3871
12969,3706,46.7,-168,1,3871
13090,3712,46.2,-172,1,3871
13212,3710,45.7,-184,1,3871
13335,3708,45.1,-148,1,3871
13456,3709,44.6,-162,1,3871
13579,3708,44.1,-153,1,3871
13702,3708,43.6,-145,1,3871
13825,3708,43.1,-157,1,3871
13946,3699,42.5,-179,1,3871
14069,3703,42.0,-168,1,3871
14192,3704,41.5,-152,1,3871
14314,3703,41.0,-138,1,3871
14435,3697,40.4,-171,1,3871
14559,3695,39.9,-126,1,3871
14682,3698,39.4,-136,1,3871
14804,3684,38.9,-165,1,3871
14926,3692,38.3,-153,1,3871
15049,3694,37.8,-141,1,3871
15172,3694,37.3,-144,1,3871
15293,3679,36.8,-211,1,3871
15415,3690,36.2,-170,1,3871
15539,3687,35.7,-170,1,3871
15662,3680,35.2,-167,1,3871
15783,3679,34.6,-161,1,3871
15905,3678,34.1,-161,1,3871
16026,3678,33.6,-162,1,3871
16148,3683,33.1,-147,1,3871
16269,3672,32.6,-179,1,3871
16389,3670,32.0,-157,1,3871
16510,3673,31.5,-145,1,3871
16631,3669,31.0,-180,1,3871
16752,3665,30.5,-147,1,3871
16873,3662,29.9,-151,1,3871
16993,3664,29.4,-156,1,3871
17114,3658,28.9,-147,1,3871
17236,3648,28.4,-167,1,3871
17357,3656,27.9,-147,1,3871
17478,3652,27.4,-168,1,3871
17598,3644,26.9,-188,1,3871
17720,3648,26.4,-145,1,3871
17840,3628,25.9,-160,1,3871
17961,3634,25.3,-152,1,3871
18082,3626,24.8,-190,1,3871
18203,3617,24.3,-166,1,3871
18324,3613,23.8,-204,1,3871
18444,3610,23.3,-151,1,3871
18565,3614,22.8,-156,1,3871
18686,3610,22.2,-161,1,3871
18807,3601,21.7,-162,1,3871
18928,3602,21.2,-128,1,3871
19048,3603,20.7,-160,1,3871
19169,3600,20.2,-156,1,3871
19289,3590,19.6,-169,1,3871
19409,3595,19.1,-160,1,3871
19530,3591,18.6,-176,1,3871
19652,3583,18.0,-161,1,3871
19773,3583,17.5,-150,1,3871
19893,3563,17.0,-169,1,3871
20014,3561,16.4,-182,1,3871
20134,3550,15.9,-145,1,3871
20255,3523,15.4,-148,1,3871
20375,3501,14.8,-173,1,3871
20496,3460,14.3,-163,1,3871
20616,3422,13.7,-168,1,3871
20738,3373,13.1,-183,1,3871
20859,3318,4.6,-156,1,3871
20904,3289,0.8,-150,1,3871
