# autonomy test
# fw,878e43d
# type,idle
# result,completed
# start_soc_pct,99.5
# file,
# format,none
# rate_hz,0
# volume,0
# sd_freq_khz,40000
# cpu_freq_mhz,160
# duration_s,48453
# end,clean
t_s,voltage_mV,soc_pct,current_mA,bt,heap_min_kb
0,4109,99.5,-68,0,3921
240,4102,99.1,-63,0,3921
480,4100,98.8,-58,0,3921
720,4096,98.4,-58,0,3921
960,4089,98.0,-51,0,3921
1200,4087,97.7,-60,0,3921
1440,4080,97.3,-64,0,3921
1680,4078,96.9,-70,0,3921
1920,4072,96.5,-57,0,3921
2161,4067,96.2,-58,0,3921
2401,4063,95.8,-62,0,3921
2641,4060,95.4,-51,0,3921
2881,4057,95.1,-65,0,3921
3121,4054,94.7,-67,0,3921
3361,4048,94.3,-56,0,3921
3601,4046,93.9,-62,0,3921
3841,4041,93.6,-51,0,3921
4081,4041,93.2,-54,0,3921
4321,4039,92.8,-56,0,3921
4561,4036,92.4,-58,0,3921
4801,4032,92.1,-59,0,3921
5041,4026,91.7,-58,0,3921
5282,4024,91.3,-52,0,3921
5522,4020,91.0,-65,0,3921
5762,4014,90.6,-58,0,3921
6002,4008,90.2,-66,0,3921
6242,4004,89.8,-62,0,3921
6482,4000,89.4,-61,0,3921
6722,3992,89.0,-63,0,3921
6962,3988,88.7,-49,0,3921
7202,3982,88.3,-52,0,3921
7442,3981,87.9,-62,0,3921
7682,3975,87.5,-52,0,3921
7923,3973,87.2,-66,0,3921
8163,3969,86.8,-57,0,3921
8403,3966,86.4,-60,0,3921
8643,3964,86.0,-55,0,3921
8883,3961,85.6,-66,0,3921
9123,3959,85.3,-57,0,3921
9363,3954,84.9,-70,0,3921
9603,3952,84.5,-58,0,3921
9843,3949,84.1,-61,0,3921
10084,3948,83.7,-48,0,3921
10324,3945,83.3,-56,0,3921
10564,3942,83.0,-62,0,3921
10804,3937,82.6,-71,0,3921
11044,3936,82.2,-70,0,3921
11284,3936,81.8,-65,0,3921
11524,3932,81.4,-65,0,3921
11765,3929,81.0,-68,0,3921
12005,3925,80.6,-61,0,3921
12245,3922,80.2,-55,0,3921
12485,3914,79.9,-58,0,3921
12725,3915,79.5,-63,0,3921
12966,3912,79.1,-63,0,3921
13206,3909,78.7,-56,0,3921
13446,3906,78.3,-65,0,3921
13686,3904,77.9,-57,0,3921
13926,3902,77.5,-60,0,3921
14167,3898,77.2,-58,0,3921
14407,3892,76.8,-62,0,3921
14647,3891,76.4,-49,0,3921
14887,3888,76.0,-61,0,3921
15127,3886,75.6,-61,0,3921
15368,3883,75.2,-54,0,3921
15608,3881,74.8,-65,0,3921
15848,3876,74.4,-64,0,3921
16088,3873,74.0,-71,0,3921
16328,3868,73.7,-62,0,3921
16568,3863,73.3,-57,0,3921
16808,3860,72.9,-56,0,3921
17048,3859,72.5,-64,0,3921
17288,3856,72.1,-57,0,3921
17528,3850,71.7,-63,0,3921
17768,3847,71.3,-56,0,3921
18008,3842,70.9,-68,0,3921
18248,3837,70.5,-57,0,3921
18488,3832,70.1,-70,0,3921
18728,3832,69.7,-63,0,3921
18968,3827,69.3,-56,0,3921
19208,3823,68.9,-64,0,3921
19449,3821,68.6,-60,0,3921
19689,3816,68.1,-50,0,3921
19929,3815,67.8,-55,0,3921
20169,3811,67.4,-56,0,3921
20409,3809,67.0,-64,0,3921
20649,3807,66.6,-58,0,3921
20889,3804,66.2,-75,0,3921
21129,3804,65.8,-63,0,3921
21369,3803,65.4,-76,0,3921
21609,3798,65.0,-52,0,3921
21849,3795,64.6,-58,0,3921
22089,3795,64.2,-62,0,3921
22329,3793,63.8,-64,0,3921
22569,3788,63.4,-65,0,3921
22809,3789,63.0,-61,0,3921
23050,3786,62.7,-75,0,3921
23290,3787,62.3,-68,0,3921
23530,3785,61.9,-68,0,3921
23770,3782,61.5,-55,0,3921
24010,3780,61.1,-67,0,3921
24250,3778,60.7,-75,0,3921
24490,3778,60.3,-61,0,3921
