# autonomy test
# fw,878e43d
# type,jack
# result,completed
# start_soc_pct,99.9
# file,01 - Can You Feel My Heart.wav
# format,wav
# rate_hz,44100
# volume,128
# sd_freq_khz,40000
# cpu_freq_mhz,160
# duration_s,33263
# end,clean
t_s,voltage_mV,soc_pct,current_mA,bt,heap_min_kb
0,4125,99.9,-89,0,3917
240,4116,99.3,-76,0,3917
480,4108,98.7,-102,0,3917
720,4098,98.1,-105,0,3917
960,4093,97.5,-83,0,3917
1200,4084,96.9,-87,0,3917
1440,4071,96.3,-95,0,3917
1680,4072,95.7,-94,0,3917
1921,4068,95.1,-87,0,3917
2161,4060,94.5,-110,0,3917
2401,4055,93.9,-109,0,3917
2641,4050,93.2,-83,0,3917
2881,4043,92.6,-87,0,3917
3121,4036,92.0,-79,0,3917
3361,4029,91.4,-93,0,3917
3601,4027,90.8,-101,0,3917
3841,4026,90.1,-85,0,3917
4081,4011,89.5,-101,0,3917
4321,4013,88.9,-99,0,3917
4561,4005,88.3,-103,0,3917
4801,3996,87.6,-102,0,3917
5041,3994,87.0,-82,0,3917
5282,3987,86.4,-90,0,3917
5522,3975,85.8,-118,0,3917
5762,3972,85.1,-85,0,3917
6002,3966,84.5,-98,0,3917
6242,3961,83.9,-87,0,3917
6482,3956,83.2,-79,0,3917
6722,3953,82.6,-86,0,3917
6962,3949,82.0,-79,0,3917
7202,3942,81.3,-85,0,3917
7442,3937,80.7,-85,0,3917
7682,3932,80.1,-101,0,3917
7923,3930,79.4,-90,0,3917
8163,3925,78.8,-84,0,3917
8403,3920,78.1,-105,0,3917
8643,3917,77.5,-94,0,3917
8883,3908,76.9,-98,0,3917
9123,3907,76.2,-85,0,3917
9363,3904,75.6,-95,0,3917
9603,3899,75.0,-94,0,3917
9843,3894,74.3,-93,0,3917
10084,3891,73.7,-81,0,3917
10324,3876,73.0,-96,0,3917
10564,3878,72.4,-95,0,3917
10804,3877,71.8,-92,0,3917
11044,3871,71.1,-91,0,3917
11284,3865,70.5,-95,0,3917
11525,3862,69.9,-77,0,3917
11765,3853,69.2,-137,0,3917
12005,3853,68.6,-83,0,3917
12245,3849,67.9,-91,0,3917
12485,3841,67.3,-85,0,3917
12725,3837,66.7,-94,0,3917
12966,3826,66.0,-120,0,3917
13206,3826,65.4,-84,0,3917
13446,3808,64.8,-106,0,3917
13686,3806,64.1,-95,0,3917
13926,3808,63.5,-87,0,3917
14167,3802,62.8,-132,0,3917
14407,3797,62.2,-108,0,3917
14647,3794,61.5,-90,0,3917
14887,3791,60.9,-81,0,3917
15127,3787,60.2,-80,0,3917
15368,3785,59.6,-95,0,3917
15608,3784,58.9,-82,0,3917
15848,3780,58.3,-93,0,3917
16088,3779,57.6,-101,0,3917
16328,3770,57.0,-110,0,3917
16568,3763,56.3,-99,0,3917
16808,3767,55.7,-101,0,3917
17048,3770,55.0,-87,0,3917
17288,3764,54.4,-95,0,3917
17528,3763,53.7,-90,0,3917
17768,3752,53.1,-96,0,3917
18008,3751,52.4,-109,0,3917
18248,3745,51.8,-101,0,3917
18488,3752,51.1,-92,0,3917
18728,3751,50.5,-93,0,3917
18969,3745,49.8,-92,0,3917
19209,3745,49.2,-91,0,3917
19449,3742,48.5,-89,0,3917
19689,3741,47.9,-86,0,3917
19929,3736,47.2,-100,0,3917
20169,3737,46.6,-93,0,3917
20409,3738,45.9,-105,0,3917
20649,3734,45.3,-129,0,3917
20889,3727,44.6,-113,0,3917
21129,3729,43.9,-122,0,3917
21369,3729,43.2,-100,0,3917
21609,3729,42.6,-95,0,3917
21849,3724,41.9,-91,0,3917
22089,3708,41.2,-137,0,3917
22329,3724,40.5,-97,0,3917
22570,3726,39.9,-96,0,3917
22810,3721,39.2,-87,0,3917
23050,3724,38.5,-97,0,3917
23290,3715,37.9,-108,0,3917
23530,3717,37.2,-91,0,3917
23770,3713,36.5,-103,0,3917
24010,3715,35.8,-85,0,3917
24250,3714,35.1,-84,0,3917
24490,3710,34.4,-97,0,3917
24730,3710,33.8,-93,0,3917
24970,3708,33.1,-86,0,3917
25211,3704,32.4,-114,0,3917
25451,3699,31.7,-96,0,3917
25691,3694,31.0,-115,0,3917
25931,3693,30.3,-115,0,3917
26171,3695,29.7,-95,0,3917
26411,3692,29.0,-86,0,3917
26651,3687,28.3,-86,0,3917
26891,3690,27.7,-102,0,3917
27131,3681,27.0,-97,0,3917
27371,3676,26.3,-111,0,3917
27612,3674,25.6,-101,0,3917
27852,3670,24.9,-101,0,3917
28092,3666,24.3,-87,0,3917
28332,3655,23.6,-112,0,3917
28572,3657,22.9,-100,0,3917
28812,3639,22.3,-97,0,3917
29052,3644,21.6,-105,0,3917
29292,3637,20.9,-95,0,3917
29532,3627,20.2,-99,0,3917
29772,3628,19.6,-89,0,3917
30013,3624,18.9,-100,0,3917
30253,3622,18.2,-92,0,3917
30493,3616,17.6,-98,0,3917
30733,3609,16.9,-112,0,3917
30973,3608,16.2,-95,0,3917
31213,3599,15.5,-117,0,3917
31453,3596,14.9,-97,0,3917
31693,3585,14.1,-84,0,3917
31933,3561,13.4,-116,0,3917
32173,3554,12.7,-80,0,3917
32413,3510,11.9,-102,0,3917
32653,3472,11.2,-91,0,3917
32893,3419,10.4,-105,0,3917
33133,3347,6.2,-101,0,3917
33263,3306,0.9,-99,0,3917
