t_s,BTC_TASK,BTU_TASK,IDLE0,IDLE1,audio,btController,esp_timer,hciT,input,ipc0,ipc1,maint,ui,charge_coeur0,charge_coeur1
21.6,0.0,0.0,97.35,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,2.03,0.0
31.7,0.0,0.0,97.35,98.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,2.04,0.0
41.8,0.0,0.0,97.33,97.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,2.36,2.06,2.36
52.0,0.0,0.0,97.35,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,2.04,0.0
62.1,0.0,0.0,97.34,98.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.78,2.06,0.78
72.2,0.0,0.0,97.31,99.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,0.0
82.3,0.0,0.0,97.34,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,2.04,0.0
92.4,0.0,0.0,97.33,98.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.76,2.05,0.76
102.6,0.0,0.0,97.33,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,2.04,0.0
112.7,0.0,0.0,97.34,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,0.0
122.8,0.0,0.0,97.33,98.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.76,2.06,0.76
132.9,0.0,0.0,97.32,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,0.0
143.0,0.0,0.0,97.33,99.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,2.05,0.0
153.2,0.0,0.0,96.86,76.62,0.0,0.0,0.0,0.0,0.23,0.0,0.0,2.45,22.82,2.45,22.82
163.3,0.0,0.0,95.84,71.59,11.89,0.0,0.0,0.0,0.19,0.0,0.0,2.37,14.82,2.37,26.71
173.9,0.22,0.28,87.63,63.36,11.43,5.11,0.0,0.36,0.16,0.12,0.01,2.58,21.66,8.67,33.1
184.0,0.01,0.02,87.0,56.71,10.64,0.03,0.0,0.01,0.0,0.0,0.0,2.99,22.72,3.06,33.36
194.2,0.01,0.01,94.58,81.73,11.63,0.14,0.01,0.0,0.0,0.0,0.0,2.41,3.79,2.58,15.42
